名称,类型,默认显示,描述,表格类型
indep_acct_assets,float,Y,独立账户资产,balancesheet
client_depos,float,Y,其中：客户资金存款,balancesheet
client_prov,float,Y,其中：客户备付金,balancesheet
transac_seat_fee,float,Y,其中:交易席位费,balancesheet
invest_as_receiv,float,Y,应收款项类投资,balancesheet
total_assets,float,Y,资产总计,balancesheet
lt_borr,float,Y,长期借款,balancesheet
st_borr,float,Y,短期借款,balancesheet
cb_borr,float,Y,向中央银行借款,balancesheet
depos_ib_deposits,float,Y,吸收存款及同业存放,balancesheet
loan_oth_bank,float,Y,拆入资金,balancesheet
trading_fl,float,Y,交易性金融负债,balancesheet
notes_payable,float,Y,应付票据,balancesheet
acct_payable,float,Y,应付账款,balancesheet
adv_receipts,float,Y,预收款项,balancesheet
sold_for_repur_fa,float,Y,卖出回购金融资产款,balancesheet
comm_payable,float,Y,应付手续费及佣金,balancesheet
payroll_payable,float,Y,应付职工薪酬,balancesheet
taxes_payable,float,Y,应交税费,balancesheet
int_payable,float,Y,应付利息,balancesheet
div_payable,float,Y,应付股利,balancesheet
oth_payable,float,Y,其他应付款,balancesheet
acc_exp,float,Y,预提费用,balancesheet
deferred_inc,float,Y,递延收益,balancesheet
st_bonds_payable,float,Y,应付短期债券,balancesheet
payable_to_reinsurer,float,Y,应付分保账款,balancesheet
rsrv_insur_cont,float,Y,保险合同准备金,balancesheet
acting_trading_sec,float,Y,代理买卖证券款,balancesheet
acting_uw_sec,float,Y,代理承销证券款,balancesheet
non_cur_liab_due_1y,float,Y,一年内到期的非流动负债,balancesheet
oth_cur_liab,float,Y,其他流动负债,balancesheet
total_cur_liab,float,Y,流动负债合计,balancesheet
bond_payable,float,Y,应付债券,balancesheet
lt_payable,float,Y,长期应付款,balancesheet
specific_payables,float,Y,专项应付款,balancesheet
estimated_liab,float,Y,预计负债,balancesheet
defer_tax_liab,float,Y,递延所得税负债,balancesheet
defer_inc_non_cur_liab,float,Y,递延收益-非流动负债,balancesheet
oth_ncl,float,Y,其他非流动负债,balancesheet
total_ncl,float,Y,非流动负债合计,balancesheet
depos_oth_bfi,float,Y,同业和其它金融机构存放款项,balancesheet
deriv_liab,float,Y,衍生金融负债,balancesheet
depos,float,Y,吸收存款,balancesheet
agency_bus_liab,float,Y,代理业务负债,balancesheet
oth_liab,float,Y,其他负债,balancesheet
prem_receiv_adva,float,Y,预收保费,balancesheet
depos_received,float,Y,存入保证金,balancesheet
ph_invest,float,Y,保户储金及投资款,balancesheet
reser_une_prem,float,Y,未到期责任准备金,balancesheet
reser_outstd_claims,float,Y,未决赔款准备金,balancesheet
reser_lins_liab,float,Y,寿险责任准备金,balancesheet
reser_lthins_liab,float,Y,长期健康险责任准备金,balancesheet
indept_acc_liab,float,Y,独立账户负债,balancesheet
pledge_borr,float,Y,其中:质押借款,balancesheet
indem_payable,float,Y,应付赔付款,balancesheet
policy_div_payable,float,Y,应付保单红利,balancesheet
total_liab,float,Y,负债合计,balancesheet
treasury_share,float,Y,减:库存股,balancesheet
ordin_risk_reser,float,Y,一般风险准备,balancesheet
forex_differ,float,Y,外币报表折算差额,balancesheet
invest_loss_unconf,float,Y,未确认的投资损失,balancesheet
minority_int,float,Y,少数股东权益,balancesheet
total_hldr_eqy_exc_min_int,float,Y,股东权益合计(不含少数股东权益),balancesheet
total_hldr_eqy_inc_min_int,float,Y,股东权益合计(含少数股东权益),balancesheet
total_liab_hldr_eqy,float,Y,负债及股东权益总计,balancesheet
lt_payroll_payable,float,Y,长期应付职工薪酬,balancesheet
oth_comp_income,float,Y,其他综合收益,balancesheet
oth_eqt_tools,float,Y,其他权益工具,balancesheet
oth_eqt_tools_p_shr,float,Y,其他权益工具(优先股),balancesheet
lending_funds,float,Y,融出资金,balancesheet
acc_receivable,float,Y,应收款项,balancesheet
st_fin_payable,float,Y,应付短期融资款,balancesheet
payables,float,Y,应付款项,balancesheet
hfs_assets,float,Y,持有待售的资产,balancesheet
hfs_sales,float,Y,持有待售的负债,balancesheet
update_flag,str,N,更新标识,balancesheet
ts_code,str,Y,TS股票代码,cashflow
ann_date,str,Y,公告日期,cashflow
f_ann_date,str,Y,实际公告日期,cashflow
end_date,str,Y,报告期,cashflow
